"","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","condition","group1","group2"
"24",3.55007634314126,81.7909413961332,48686,26,3.34710183625683,1.58689913415706,0.50610813634903,88.0674175349836,3.92041290553222,1.3709749133917,93.5903333640016,12972,18,4.70505704594511,1.92513594476315,0.679488520976325,98.2795105345478,22.9391553328561,"Conversation","G5","G8"
"25",3.70862489511616,88.2758223067831,41444,48,4.43325933790175,2.03210181871502,0.571561991560323,94.2013318342991,5.87936308024469,0.0610079001236345,45.3824948311509,552,9,2.38586956521739,0.808737421708004,0.451364949144894,68.0565127498277,2.77777777777778,"Synchronous","G6","G5"
"26",3.56721769029791,82.5427826451813,51608,27,3.20200356533871,1.46834894436991,0.450676929684099,91.5773384349494,3.65444107797799,0.0269931577390582,65.809968847352,271,6,3.11808118081181,1.4019726610385,0.871094591600724,79.595015576324,4.13765182186235,"TurnTaking","G6","G5"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G6","G5"
"28",3.77590735547323,83.4590156198386,53469,32,3.3076736052666,1.53845391869681,0.448008052181274,90.7135104525506,3.74931247683876,0.00466704129133248,34.2342342342342,38,2,2,0,NA,49.5495495495495,2.24489795918367,"Conversation","G6","G5"
"29",3.80345467637154,82.8676635934338,53162,20,3.32730145592717,1.5799082586563,0.536573612098957,94.4883254628589,5.1908634667353,0.190654943563488,82.2361892160106,2048,36,3.6416015625,1.68421681370984,0.537145565491261,89.3593560480759,4.70889018012783,"Synchronous","G7","G9"
"30",2.90451396529786,75.0168705446425,43019,19,2.84251144842976,1.25210527425705,0.441938224272391,88.7047102560642,3.77077139727742,0.0560675636215484,79.7525309336333,601,20,3.53910149750416,1.66494539273211,0.630886405554076,86.6516685414323,4.45279383429672,"TurnTaking","G7","G9"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G7","G9"
"32",4.20882437264362,80.171968535939,57708,35,3.28153808830665,1.53318579838345,0.470577154633513,90.1810284243415,3.8643216080402,0.0200766866361375,61.151832460733,219,7,2.66666666666667,1.08442227104051,0.605227593136547,79.6858638743456,3.92268041237113,"Conversation","G7","G9"
"33",3.72066756441615,83.2472969155302,36949,25,3.50905301902623,1.67905739271171,0.535500076568999,90.8422580065234,4.37140826793549,0.642720437516824,91.6779615071835,4031,26,5.03398660382039,2.17908125723651,0.715738281392318,94.858588596729,5.8,"Synchronous","G8","G4"
"34",3.57251662671656,80.2021756619679,37215,21,3.08061265618702,1.41748494641394,0.481410875363165,92.9112595753611,3.81786299479691,0.127929385911456,79.297994269341,813,16,4.08487084870849,1.81765153057121,0.671203041151677,85.0047755491882,4.73404255319149,"TurnTaking","G8","G4"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G8","G4"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G8","G4"
"37",4.28866883897308,78.4666392451607,57860,23,3.26406844106464,1.54849077310766,0.53574104053479,92.5579694790329,5.19095442259297,0.153949294488413,91.6154581455688,1346,21,4.98439821693908,2.17037255330629,0.724488156857709,96.5587873822204,6.7278782112274,"Synchronous","G9","G7"
"38",3.47538140833807,79.6081909722934,50055,19,3.10200779142943,1.43980938695161,0.498139861427243,97.018621439265,7.97089300758214,0.0309664496492466,82.5526137135098,320,11,3.8,1.72081378337716,0.74733993050376,91.1065852002716,5.4331983805668,"TurnTaking","G9","G7"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SelfPaced","G9","G7"
"40",3.6543142650398,78.0687126376252,53209,19,3.00903982408991,1.38025421636773,0.477535186467633,94.0800444691495,5.28182315904736,0.0589686973972415,77.1122994652406,573,17,3.77486910994764,1.74591695320528,0.629706432548305,81.7825311942959,4.82947368421053,"Conversation","G9","G7"
